Fiscal_Year,Agency_Budget_Code,Agency_Acronym,Agency_Full_Name_,Measure_Name,Data_Type_Formula,Measure_Type,Directionality,Frequency,YE_Target,Q1_Actual,Q2_Actual,Q3_Actual,Q4_Actual,YE_Actual,YE_Rating_%,Rating,Budget_Program,OBJECTID
2013,LQ0,ABRA,Alcoholic Beverage Regulation Administration,Amount of fines collected annually. ,Raw Number,Output,Up is Better,Quarterly,290000,129700,137050,111650,145550,523950, > 100%,Fully Achieved,ADJUDICATION,0
2013,LQ0,ABRA,Alcoholic Beverage Regulation Administration,Amount of revenue generated by ABRA licenses. ,Dollar Amount,Outcome,Up is Better,Quarterly,3700000,676148,3450902,1363513,1324354,6814917, > 100%,Fully Achieved,LICENSING,1
2013,LQ0,ABRA,Alcoholic Beverage Regulation Administration,Number of establishments inspected to ensure compliance with underage drinking laws. ,Raw Number,Output,Up is Better,Quarterly,700,0,159,310,363,832, > 100%,Fully Achieved,INVESTIGATIONS,2
2013,LQ0,ABRA,Alcoholic Beverage Regulation Administration,"Number of inspections, investigations, and monitoring activities conducted by the Enforcement Division. ",Raw Number,Output,Up is Better,Quarterly,7000,1820,1712,3593,1936,9061, > 100%,Fully Achieved,INVESTIGATIONS,3
2013,LQ0,ABRA,Alcoholic Beverage Regulation Administration,Number of new licenses and permit issued. ,Raw Number,Output,Up is Better,Quarterly,1000,449,453,617,520,2039, > 100%,Fully Achieved,LICENSING,4
2013,LQ0,ABRA,Alcoholic Beverage Regulation Administration,Number of one-day and substantial change permits issued within 15 days or less. ,Percentage,Output,Up is Better,Quarterly,90,98.41,93.79,89.5,88.03,91.44, > 100%,Fully Achieved,LICENSING,5
2013,LQ0,ABRA,Alcoholic Beverage Regulation Administration,Total number of citations issued. ,Raw Number,Output,Up is Better,Quarterly,250,91,136,88,144,459, > 100%,Fully Achieved,INVESTIGATIONS,6
2013,AP0,APIA,"Asian and Pacific Islander Affairs, Office of",% of scheduled monitoring visits as defined in agency monitoring plan completed for each grant award,Percentage,Output,Up is Better,Quarterly,100,,100,,,100,100%,Fully Achieved,,7
2013,AP0,APIA,"Asian and Pacific Islander Affairs, Office of",Number of AAPI community members reached by outreach efforts. ,Raw Number,Output,Up is Better,Quarterly,31946,11624,11981,24039,5807,53451, > 100%,Fully Achieved,,8
2013,AP0,APIA,"Asian and Pacific Islander Affairs, Office of",Number of DC agencies who receive technical assistance through OAPIA efforts,Raw Number,Output,Up is Better,Quarterly,34,34,0,0,0,34,100%,Fully Achieved,,9
